,Name,Name_4FGL,CLASS1,RAdeg,DEdeg,EF30-100,e_EF30-100,z_1FLE
120,1FLE J2209-8335,4FGL J2201.5-8339 ,fsrq,332.365326,-83.59446,1.15241e-11,3.8141e-12,1.865
121,1FLE J2156+5102,4FGL J2201.8+5048 ,fsrq,329.154785,51.046795,2.75096e-11,8.29618e-12,1.899
122,1FLE J2203+4214,4FGL J2202.7+4216 ,bll,330.759003,42.242191,5.72939e-11,1.27037e-11,0.0686
123,1FLE J2227-0838,4FGL J2229.7-0832 ,fsrq,336.994843,-8.646634,1.87103e-11,5.64253e-12,1.56
124,1FLE J2231+1132,4FGL J2232.6+1143 ,fsrq,337.93869,11.53837,6.88284e-11,1.52612e-11,1.037
125,1FLE J2232-4923,4FGL J2235.3-4836 ,fsrq,338.02417,-49.383705,6.78489e-12,2.24558e-12,0.51
126,1FLE J2236+2807,4FGL J2236.3+2828 ,fsrq,339.171509,28.121872,9.19397e-12,3.04291e-12,0.79
127,1FLE J2240-1340,4FGL J2236.5-1433 ,bll,340.13089,-13.669431,8.25816e-12,2.73318e-12,0.0
128,1FLE J2251+4034,4FGL J2244.2+4057 ,fsrq,342.786621,40.58149,9.82924e-12,3.25316e-12,1.171
129,1FLE J2256-2750,4FGL J2250.7-2806 ,bll,344.145386,-27.8403,2.24025e-11,6.75602e-12,0.525
130,1FLE J2254+1617,4FGL J2253.9+1609 ,fsrq,343.562622,16.287817,2.73247e-10,5.55047e-11,0.859
131,1FLE J2311+3404,4FGL J2311.0+3425 ,fsrq,347.989807,34.074013,1.3282e-11,4.39593e-12,1.817
132,1FLE J2320-0409,4FGL J2323.5-0317 ,fsrq,350.037872,-4.163044,8.61e-12,2.84963e-12,1.393
133,1FLE J2329+0858,4FGL J2327.5+0939 ,fsrq,352.481628,8.967734,1.05894e-11,3.50475e-12,1.843
134,1FLE J2330-4033,4FGL J2328.3-4036 ,fsrq,352.504517,-40.564949,7.71639e-12,2.55388e-12,0.0
135,1FLE J2329-4929,4FGL J2329.3-4955 ,fsrq,352.365875,-49.489975,3.74749e-11,1.13015e-11,0.518
136,1FLE J2345-1611,4FGL J2345.2-1555 ,fsrq,356.476593,-16.189926,1.57361e-11,5.20815e-12,0.621
