,Name,RAdeg,DEdeg,GLON,GLAT,ePos,Signi,EF30-100,e_EF30-100,EF100-300,e_EF100-300,F30-100,e_F30-100,F100-300,e_F100-300,Class1,z,Assoc1,Assoc3FGL,AssocCOMP
109,1FLE J1720+0916,260.07428,9.272167,30.987823,24.43364,0.246676,3.247,8.03972e-12,2.66089e-12,0.0,0.0,9.65e-08,3.19384e-08,3.05976e-08,0.0,fsrq ,0.732,3FGL J1722.7+1014 ,3FGL J1722.7+1014 ,                       
110,1FLE J0531+0707,82.765579,7.122114,197.012619,-14.292369,0.245768,3.536,7.96495e-12,2.63614e-12,9.18991e-12,2.60894e-12,9.56025e-08,3.16413e-08,3.0313e-08,9.92909e-09,fsrq ,1.254,3FGL J0532.7+0732 ,3FGL J0532.7+0732 ,                       
111,1FLE J0206-1705,31.575779,-17.089865,186.681137,-70.00222,0.24585,4.993,7.82063e-12,2.58837e-12,4.09758e-12,1.63903e-12,9.38702e-08,3.1068e-08,2.97637e-08,6.23782e-09,fsrq ,1.74,3FGL J0205.2-1700 ,3FGL J0205.2-1700 ,                       
112,1FLE J0331-3909,52.933949,-39.16156,243.214935,-54.686783,0.246345,4.26,7.80884e-12,2.58447e-12,6.00845e-12,2.40338e-12,9.37288e-08,3.10212e-08,2.97189e-08,9.14677e-09,bll  ,1.357,3FGL J0334.3-4008 ,3FGL J0334.3-4008 ,                       
113,1FLE J1147+4836,176.90033,48.600826,148.639542,65.217964,0.246015,3.673,7.79723e-12,2.58063e-12,5.52892e-12,2.21157e-12,9.35894e-08,3.09751e-08,2.96747e-08,8.41678e-09,fsrq ,0.334,3FGL J1153.4+4932 ,3FGL J1153.4+4932 ,                       
114,1FLE J1559+1149,239.929123,11.828297,23.305424,43.375332,0.246262,3.878,7.74754e-12,2.56418e-12,5.55549e-12,2.2222e-12,9.29929e-08,3.07776e-08,2.94856e-08,8.45724e-09,bll  ,0.0,3FGL J1555.7+1111 ,3FGL J1555.7+1111 ,                       
115,1FLE J0424-0042,66.07991,-0.710336,194.81955,-32.580349,0.245933,4.172,7.63768e-12,2.52783e-12,5.48603e-12,2.19441e-12,9.16744e-08,3.03412e-08,2.90675e-08,8.35149e-09,fsrq ,0.916,3FGL J0423.2-0119 ,3FGL J0423.2-0119 ,                       
116,1FLE J0443-0024,70.977242,-0.404252,197.489975,-28.247097,0.246015,4.076,7.63478e-12,2.52686e-12,6.26195e-12,2.50478e-12,9.16395e-08,3.03297e-08,2.90564e-08,9.53269e-09,fsrq ,0.844,3FGL J0442.6-0017 ,3FGL J0442.6-0017 ,                       
117,1FLE J1005-2205,151.312759,-22.098806,259.584229,26.462029,0.245522,4.101,7.63159e-12,2.52581e-12,3.79771e-12,1.51908e-12,9.16012e-08,3.0317e-08,2.90443e-08,5.78132e-09,fsrq ,0.33,3FGL J1006.7-2159 ,3FGL J1006.7-2159 ,                       
118,1FLE J0215+1034,33.833206,10.567013,154.098877,-47.164406,0.24618,4.26,7.35438e-12,2.43406e-12,8.00729e-12,2.2732e-12,8.82739e-08,2.92158e-08,2.79893e-08,8.65135e-09,bll  ,0.0,3FGL J0211.2+1051 ,3FGL J0211.2+1051 ,                       
119,1FLE J0852-1149,133.225052,-11.821919,238.715134,20.300402,0.246015,4.225,7.30742e-12,2.41852e-12,4.73532e-12,1.89413e-12,8.77103e-08,2.90293e-08,2.78106e-08,7.20867e-09,fsrq ,0.566,3FGL J0850.2-1214 ,3FGL J0850.2-1214 ,                       
120,1FLE J0349-2045,57.391232,-20.758389,213.935226,-49.013699,0.24585,4.093,7.18849e-12,2.37916e-12,4.86577e-12,1.94631e-12,8.62827e-08,2.85568e-08,2.73579e-08,7.40726e-09,fsrq ,2.944,3FGL J0349.9-2102 ,3FGL J0349.9-2102 ,                       
121,1FLE J1148-3800,177.038757,-38.010868,289.41745,23.194515,0.24618,3.384,7.16149e-12,2.37022e-12,5.6902e-12,2.27608e-12,8.59586e-08,2.84495e-08,2.72552e-08,8.6623e-09,fsrq ,1.048,3FGL J1147.0-3811 ,3FGL J1147.0-3811 ,                       
122,1FLE J1030+3811,157.629211,38.184013,183.348495,58.57357,0.246097,3.602,7.03671e-12,2.32892e-12,0.0,0.0,8.44609e-08,2.79538e-08,2.67803e-08,0.0,bll  ,0.0,3FGL J1032.7+3735 ,3FGL J1032.7+3735 ,                       
123,1FLE J2232-4923,338.02417,-49.383705,343.657745,-55.253235,0.246345,3.315,6.78489e-12,2.24558e-12,2.39511e-12,9.58044e-13,8.14384e-08,2.69535e-08,2.58219e-08,3.64612e-09,fsrq ,0.51,3FGL J2235.3-4835 ,3FGL J2235.3-4835 ,                       
124,1FLE J1011+2442,152.764664,24.704567,207.555252,54.006527,0.245768,3.774,6.5712e-12,2.17485e-12,4.21553e-12,1.68621e-12,7.88734e-08,2.61046e-08,2.50087e-08,6.41738e-09,fsrq ,1.805,3FGL J1012.6+2439 ,3FGL J1012.6+2439 ,                       
125,1FLE J0309+1002,47.491192,10.043891,169.777115,-39.907799,0.24651,3.628,6.5695e-12,2.17429e-12,5.86187e-12,2.34475e-12,7.88531e-08,2.60978e-08,2.50022e-08,8.92364e-09,fsrq ,0.863,3FGL J0309.0+1029 ,3FGL J0309.0+1029 ,                       
126,1FLE J1049+2227,162.297455,22.45402,215.727554,61.934433,0.246345,3.598,6.18624e-12,2.04744e-12,2.75417e-12,1.10167e-12,7.42528e-08,2.45753e-08,2.35436e-08,4.19272e-09,bll  ,0.0,3FGL J1054.5+2210 ,3FGL J1054.5+2210 ,                       
127,1FLE J1118-0558,169.712814,-5.980172,265.444244,50.030434,0.246427,3.45,6.0545e-12,2.00384e-12,5.44141e-12,2.17656e-12,7.26715e-08,2.40519e-08,2.30422e-08,8.28356e-09,fsrq ,1.297,3FGL J1121.4-0554 ,3FGL J1121.4-0554 ,                       
128,1FLE J1324+2247,201.068588,22.793167,4.495993,81.390648,0.246427,3.324,6.00331e-12,1.9869e-12,6.44929e-12,2.57971e-12,7.20571e-08,2.38486e-08,2.28474e-08,9.81787e-09,fsrq ,0.943,3FGL J1321.0+2215 ,3FGL J1321.0+2215 ,                       
129,1FLE J0910+0159,137.643753,1.986513,228.528778,31.549091,0.245686,3.582,5.88772e-12,1.94865e-12,0.0,0.0,7.06698e-08,2.33894e-08,2.24075e-08,0.0,fsrq ,1.024,3FGL J0909.1+0121 ,3FGL J0909.1+0121 ,                       
130,1FLE J0213+0107,33.318512,1.133162,161.09169,-55.554955,0.24544,3.618,5.75655e-12,1.90523e-12,4.19541e-12,1.67816e-12,6.90953e-08,2.28683e-08,2.19083e-08,6.38675e-09,fsrq ,1.715,3FGL J0217.8+0143 ,3FGL J0217.8+0143 ,                       
